symbol,date,price
S&P 500,Jan 2004,1394.46
S&P 500,Feb 2004,1366.42
S&P 500,Mar 2004,1498.58
S&P 500,Apr 2004,1452.43
S&P 500,May 2004,1420.6
S&P 500,Jun 2004,1454.6
S&P 500,Jul 2004,1430.83
S&P 500,Aug 2004,1517.68
S&P 500,Sep 2004,1436.51
S&P 500,Oct 2004,1429.4
S&P 500,Nov 2004,1314.95
S&P 500,Dec 2004,1320.28
S&P 500,Jan 2005,1366.01
S&P 500,Feb 2005,1239.94
S&P 500,Mar 2005,1160.33
S&P 500,Apr 2005,1249.46
S&P 500,May 2005,1255.82
S&P 500,Jun 2005,1224.38
S&P 500,Jul 2005,1211.23
S&P 500,Aug 2005,1133.58
S&P 500,Sep 2005,1040.94
S&P 500,Oct 2005,1059.78
S&P 500,Nov 2005,1139.45
S&P 500,Dec 2005,1148.08
S&P 500,Jan 2006,1130.2
S&P 500,Feb 2006,1106.73
S&P 500,Mar 2006,1147.39
S&P 500,Apr 2006,1076.92
S&P 500,May 2006,1067.14
S&P 500,Jun 2006,989.82
S&P 500,Jul 2006,911.62
S&P 500,Aug 2006,916.07
S&P 500,Sep 2006,815.28
S&P 500,Oct 2006,885.76
S&P 500,Nov 2006,936.31
S&P 500,Dec 2006,879.82
S&P 500,Jan 2007,855.7
S&P 500,Feb 2007,841.15
S&P 500,Mar 2007,848.18
S&P 500,Apr 2007,916.92
S&P 500,May 2007,963.59
S&P 500,Jun 2007,974.5
S&P 500,Jul 2007,990.31
S&P 500,Aug 2007,1008.01
S&P 500,Sep 2007,995.97
S&P 500,Oct 2007,1050.71
S&P 500,Nov 2007,1058.2
S&P 500,Dec 2007,1111.92
S&P 500,Jan 2008,1131.13
S&P 500,Feb 2008,1144.94
S&P 500,Mar 2008,1126.21
S&P 500,Apr 2008,1107.3
S&P 500,May 2008,1120.68
S&P 500,Jun 2008,1140.84
S&P 500,Jul 2008,1101.72
S&P 500,Aug 2008,1104.24
S&P 500,Sep 2008,1114.58
S&P 500,Oct 2008,1130.2
S&P 500,Nov 2008,1173.82
S&P 500,Dec 2008,1211.92
S&P 500,Jan 2009,1181.27
S&P 500,Feb 2009,1203.6
S&P 500,Mar 2009,1180.59
S&P 500,Apr 2009,1156.85
S&P 500,May 2009,1191.5
S&P 500,Jun 2009,1191.33
S&P 500,Jul 2009,1234.18
S&P 500,Aug 2009,1220.33
S&P 500,Sep 2009,1228.81
S&P 500,Oct 2009,1207.01
S&P 500,Nov 2009,1249.48
S&P 500,Dec 2009,1248.29
S&P 500,Jan 2010,1280.08
S&P 500,Feb 2010,1280.66
S&P 500,Mar 2010,1294.87
S&P 500,Apr 2010,1310.61
S&P 500,May 2010,1270.09
S&P 500,Jun 2010,1270.2
S&P 500,Jul 2010,1276.66
S&P 500,Aug 2010,1303.82
S&P 500,Sep 2010,1335.85
S&P 500,Oct 2010,1377.94
S&P 500,Nov 2010,1400.63
S&P 500,Dec 2010,1418.3
S&P 500,Jan 2011,1438.24
S&P 500,Feb 2011,1406.82
S&P 500,Mar 2011,1420.86
S&P 500,Apr 2011,1482.37
S&P 500,May 2011,1530.62
S&P 500,Jun 2011,1503.35
S&P 500,Jul 2011,1455.27
S&P 500,Aug 2011,1473.99
S&P 500,Sep 2011,1526.75
S&P 500,Oct 2011,1549.38
S&P 500,Nov 2011,1481.14
S&P 500,Dec 2011,1468.36
S&P 500,Jan 2012,1378.55
S&P 500,Feb 2012,1330.63
S&P 500,Mar 2012,1322.7
S&P 500,Apr 2012,1385.59
S&P 500,May 2012,1400.38
S&P 500,Jun 2012,1280
S&P 500,Jul 2012,1267.38
S&P 500,Aug 2012,1282.83
S&P 500,Sep 2012,1166.36
S&P 500,Oct 2012,968.75
S&P 500,Nov 2012,896.24
S&P 500,Dec 2012,903.25
S&P 500,Jan 2013,825.88
S&P 500,Feb 2013,735.09
S&P 500,Mar 2013,797.87
S&P 500,Apr 2013,872.81
S&P 500,May 2013,919.14
S&P 500,Jun 2013,919.32
S&P 500,Jul 2013,987.48
S&P 500,Aug 2013,1020.62
S&P 500,Sep 2013,1057.08
S&P 500,Oct 2013,1036.19
S&P 500,Nov 2013,1095.63
S&P 500,Dec 2013,1115.1
S&P 500,Jan 2014,1073.87
S&P 500,Feb 2014,1104.49
S&P 500,Mar 2014,1140.45
MSFT,Jan 2004,39.81
MSFT,Feb 2004,36.35
MSFT,Mar 2004,43.22
MSFT,Apr 2004,28.37
MSFT,May 2004,25.45
MSFT,Jun 2004,32.54
MSFT,Jul 2004,28.4
MSFT,Aug 2004,28.4
MSFT,Sep 2004,24.53
MSFT,Oct 2004,28.02
MSFT,Nov 2004,23.34
MSFT,Dec 2004,17.65
MSFT,Jan 2005,24.84
MSFT,Feb 2005,24
MSFT,Mar 2005,22.25
MSFT,Apr 2005,27.56
MSFT,May 2005,28.14
MSFT,Jun 2005,29.7
MSFT,Jul 2005,26.93
MSFT,Aug 2005,23.21
MSFT,Sep 2005,20.82
MSFT,Oct 2005,23.65
MSFT,Nov 2005,26.12
MSFT,Dec 2005,26.95
MSFT,Jan 2006,25.92
MSFT,Feb 2006,23.73
MSFT,Mar 2006,24.53
MSFT,Apr 2006,21.26
MSFT,May 2006,20.71
MSFT,Jun 2006,22.25
MSFT,Jul 2006,19.52
MSFT,Aug 2006,19.97
MSFT,Sep 2006,17.79
MSFT,Oct 2006,21.75
MSFT,Nov 2006,23.46
MSFT,Dec 2006,21.03
MSFT,Jan 2007,19.31
MSFT,Feb 2007,19.34
MSFT,Mar 2007,19.76
MSFT,Apr 2007,20.87
MSFT,May 2007,20.09
MSFT,Jun 2007,20.93
MSFT,Jul 2007,21.56
MSFT,Aug 2007,21.65
MSFT,Sep 2007,22.69
MSFT,Oct 2007,21.45
MSFT,Nov 2007,21.1
MSFT,Dec 2007,22.46
MSFT,Jan 2008,22.69
MSFT,Feb 2008,21.77
MSFT,Mar 2008,20.46
MSFT,Apr 2008,21.45
MSFT,May 2008,21.53
MSFT,Jun 2008,23.44
MSFT,Jul 2008,23.38
MSFT,Aug 2008,22.47
MSFT,Sep 2008,22.76
MSFT,Oct 2008,23.02
MSFT,Nov 2008,24.6
MSFT,Dec 2008,24.52
MSFT,Jan 2009,24.11
MSFT,Feb 2009,23.15
MSFT,Mar 2009,22.24
MSFT,Apr 2009,23.28
MSFT,May 2009,23.82
MSFT,Jun 2009,22.93
MSFT,Jul 2009,23.64
MSFT,Aug 2009,25.35
MSFT,Sep 2009,23.83
MSFT,Oct 2009,23.8
MSFT,Nov 2009,25.71
MSFT,Dec 2009,24.29
MSFT,Jan 2010,26.14
MSFT,Feb 2010,25.04
MSFT,Mar 2010,25.36
MSFT,Apr 2010,22.5
MSFT,May 2010,21.19
MSFT,Jun 2010,21.8
MSFT,Jul 2010,22.51
MSFT,Aug 2010,24.13
MSFT,Sep 2010,25.68
MSFT,Oct 2010,26.96
MSFT,Nov 2010,27.66
MSFT,Dec 2010,28.13
MSFT,Jan 2011,29.07
MSFT,Feb 2011,26.63
MSFT,Mar 2011,26.35
MSFT,Apr 2011,28.3
MSFT,May 2011,29.11
MSFT,Jun 2011,27.95
MSFT,Jul 2011,27.5
MSFT,Aug 2011,27.34
MSFT,Sep 2011,28.04
MSFT,Oct 2011,35.03
MSFT,Nov 2011,32.09
MSFT,Dec 2011,34
MSFT,Jan 2012,31.13
MSFT,Feb 2012,26.07
MSFT,Mar 2012,27.21
MSFT,Apr 2012,27.34
MSFT,May 2012,27.25
MSFT,Jun 2012,26.47
MSFT,Jul 2012,24.75
MSFT,Aug 2012,26.36
MSFT,Sep 2012,25.78
MSFT,Oct 2012,21.57
MSFT,Nov 2012,19.66
MSFT,Dec 2012,18.91
MSFT,Jan 2013,16.63
MSFT,Feb 2013,15.81
MSFT,Mar 2013,17.99
MSFT,Apr 2013,19.84
MSFT,May 2013,20.59
MSFT,Jun 2013,23.42
MSFT,Jul 2013,23.18
MSFT,Aug 2013,24.43
MSFT,Sep 2013,25.49
MSFT,Oct 2013,27.48
MSFT,Nov 2013,29.27
MSFT,Dec 2013,30.34
MSFT,Jan 2014,28.05
MSFT,Feb 2014,28.67
MSFT,Mar 2014,28.8
AMZN,Jan 2004,64.56
AMZN,Feb 2004,68.87
AMZN,Mar 2004,67
AMZN,Apr 2004,55.19
AMZN,May 2004,48.31
AMZN,Jun 2004,36.31
AMZN,Jul 2004,30.12
AMZN,Aug 2004,41.5
AMZN,Sep 2004,38.44
AMZN,Oct 2004,36.62
AMZN,Nov 2004,24.69
AMZN,Dec 2004,15.56
AMZN,Jan 2005,17.31
AMZN,Feb 2005,10.19
AMZN,Mar 2005,10.23
AMZN,Apr 2005,15.78
AMZN,May 2005,16.69
AMZN,Jun 2005,14.15
AMZN,Jul 2005,12.49
AMZN,Aug 2005,8.94
AMZN,Sep 2005,5.97
AMZN,Oct 2005,6.98
AMZN,Nov 2005,11.32
AMZN,Dec 2005,10.82
AMZN,Jan 2006,14.19
AMZN,Feb 2006,14.1
AMZN,Mar 2006,14.3
AMZN,Apr 2006,16.69
AMZN,May 2006,18.23
AMZN,Jun 2006,16.25
AMZN,Jul 2006,14.45
AMZN,Aug 2006,14.94
AMZN,Sep 2006,15.93
AMZN,Oct 2006,19.36
AMZN,Nov 2006,23.35
AMZN,Dec 2006,18.89
AMZN,Jan 2007,21.85
AMZN,Feb 2007,22.01
AMZN,Mar 2007,26.03
AMZN,Apr 2007,28.69
AMZN,May 2007,35.89
AMZN,Jun 2007,36.32
AMZN,Jul 2007,41.64
AMZN,Aug 2007,46.32
AMZN,Sep 2007,48.43
AMZN,Oct 2007,54.43
AMZN,Nov 2007,53.97
AMZN,Dec 2007,52.62
AMZN,Jan 2008,50.4
AMZN,Feb 2008,43.01
AMZN,Mar 2008,43.28
AMZN,Apr 2008,43.6
AMZN,May 2008,48.5
AMZN,Jun 2008,54.4
AMZN,Jul 2008,38.92
AMZN,Aug 2008,38.14
AMZN,Sep 2008,40.86
AMZN,Oct 2008,34.13
AMZN,Nov 2008,39.68
AMZN,Dec 2008,44.29
AMZN,Jan 2009,43.22
AMZN,Feb 2009,35.18
AMZN,Mar 2009,34.27
AMZN,Apr 2009,32.36
AMZN,May 2009,35.51
AMZN,Jun 2009,33.09
AMZN,Jul 2009,45.15
AMZN,Aug 2009,42.7
AMZN,Sep 2009,45.3
AMZN,Oct 2009,39.86
AMZN,Nov 2009,48.46
AMZN,Dec 2009,47.15
AMZN,Jan 2010,44.82
AMZN,Feb 2010,37.44
AMZN,Mar 2010,36.53
AMZN,Apr 2010,35.21
AMZN,May 2010,34.61
AMZN,Jun 2010,38.68
AMZN,Jul 2010,26.89
AMZN,Aug 2010,30.83
AMZN,Sep 2010,32.12
AMZN,Oct 2010,38.09
AMZN,Nov 2010,40.34
AMZN,Dec 2010,39.46
AMZN,Jan 2011,37.67
AMZN,Feb 2011,39.14
AMZN,Mar 2011,39.79
AMZN,Apr 2011,61.33
AMZN,May 2011,69.14
AMZN,Jun 2011,68.41
AMZN,Jul 2011,78.54
AMZN,Aug 2011,79.91
AMZN,Sep 2011,93.15
AMZN,Oct 2011,89.15
AMZN,Nov 2011,90.56
AMZN,Dec 2011,92.64
AMZN,Jan 2012,77.7
AMZN,Feb 2012,64.47
AMZN,Mar 2012,71.3
AMZN,Apr 2012,78.63
AMZN,May 2012,81.62
AMZN,Jun 2012,73.33
AMZN,Jul 2012,76.34
AMZN,Aug 2012,80.81
AMZN,Sep 2012,72.76
AMZN,Oct 2012,57.24
AMZN,Nov 2012,42.7
AMZN,Dec 2012,51.28
AMZN,Jan 2013,58.82
